species,TreeID,census,e,Cluster,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
84,456218,7,1.9599999999999997,2,55,1,159,14949.082955555556,0,2.04,0.05454545454545454,10.802478787878798
964,223506,1,44.89,3,59,1,180,9158.860625,0,2.1099999999999994,0.2711864406779661,27.60817208097929
964,223506,2,47.61000000000001,3,62,1,196,10787.742777777778,0,-3.6100000000000065,0.11290322580645161,26.574166666666667
49,223499,1,1.0,2,59,1,180,9158.860625,0,0.0,0.2711864406779661,27.60817208097929
49,223499,2,1.0,2,62,1,196,10787.742777777778,0,0.0,0.11290322580645161,26.574166666666667
316,223401,1,2.25,2,59,11,180,9158.860625,2,-0.25,0.2711864406779661,27.60817208097929
316,223401,2,2.25,2,62,13,196,10787.742777777778,4,-1.25,0.11290322580645161,26.574166666666667
316,223401,3,1.8225000000000002,2,62,17,203,12435.34111111111,-8,0.17749999999999977,-0.5483870967741935,-8.436227598566303
316,223401,4,2.1025,2,61,9,169,11912.295,-1,-0.10250000000000004,0.639344262295082,15.151561930783247
316,223401,5,2.5600000000000005,2,60,8,208,12836.540277777778,0,-0.5600000000000005,-0.65,39.33684259259259
316,223401,6,2.5600000000000005,2,60,8,169,15196.750833333334,2,0.4399999999999995,-0.16666666666666666,-4.127797962962965
316,223401,7,3.0625,2,55,10,159,14949.082955555556,3,0.9375,0.05454545454545454,10.802478787878798
316,223404,1,6.25,2,59,11,180,9158.860625,2,-0.25,0.2711864406779661,27.60817208097929
316,223404,2,6.25,2,62,13,196,10787.742777777778,4,13.75,0.11290322580645161,26.574166666666667
316,223404,3,20.25,2,62,17,203,12435.34111111111,-8,22.75,-0.5483870967741935,-8.436227598566303
316,223404,4,43.559999999999995,2,61,9,169,11912.295,-1,-0.5599999999999952,0.639344262295082,15.151561930783247
316,223404,5,43.559999999999995,2,60,8,208,12836.540277777778,0,10.440000000000005,-0.65,39.33684259259259
316,223404,6,54.760000000000005,2,60,8,169,15196.750833333334,2,13.239999999999995,-0.16666666666666666,-4.127797962962965
316,223404,7,68.89000000000001,2,55,10,159,14949.082955555556,3,8.109999999999985,0.05454545454545454,10.802478787878798
316,223406,1,4.0,2,59,11,180,9158.860625,2,0.0,0.2711864406779661,27.60817208097929
316,223406,2,4.0,2,62,13,196,10787.742777777778,4,4.0,0.11290322580645161,26.574166666666667
316,223406,3,8.41,2,62,17,203,12435.34111111111,-17,-8.41,-0.5483870967741935,-8.436227598566303
316,223407,1,47.61000000000001,2,59,11,180,9158.860625,2,8.389999999999993,0.2711864406779661,27.60817208097929
316,223407,2,56.25,2,62,13,196,10787.742777777778,4,8.75,0.11290322580645161,26.574166666666667
316,223407,3,65.61,2,62,17,203,12435.34111111111,-17,-65.61,-0.5483870967741935,-8.436227598566303
316,223429,1,6.25,2,59,11,180,9158.860625,2,-2.25,0.2711864406779661,27.60817208097929
