species,TreeID,census,e,Cluster,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
316,45520,1,1.0,2,55,6,159,45818.241388888884,0,0.0,-0.05454545454545454,-423.9067575757575
316,45520,2,1.0,2,54,6,156,22503.36972222222,-1,0.0,-0.1111111111111111,857.1209943415638
316,45520,3,1.6900000000000002,2,59,5,150,68787.90341666667,-5,-1.6900000000000002,-0.15254237288135594,-976.4319677966103
316,45520,5,1.2100000000000002,2,54,4,134,25093.04262154195,-4,-1.2100000000000002,-0.3333333333333333,35.39361209792561
316,45521,1,1.0,2,55,6,159,45818.241388888884,0,0.0,-0.05454545454545454,-423.9067575757575
316,45521,2,1.0,2,54,6,156,22503.36972222222,-6,-1.0,-0.1111111111111111,857.1209943415638
316,45560,1,9.0,2,55,6,159,45818.241388888884,0,7.0,-0.05454545454545454,-423.9067575757575
316,45560,2,16.0,2,54,6,156,22503.36972222222,-1,9.0,-0.1111111111111111,857.1209943415638
316,45560,3,25.0,2,59,5,150,68787.90341666667,-2,1.0,-0.15254237288135594,-976.4319677966103
316,45560,4,26.009999999999998,2,56,3,141,11178.417316666668,1,-1.009999999999998,-0.125,248.4754518727729
316,45560,5,25.0,2,54,4,134,25093.04262154195,0,5.0,-0.3333333333333333,35.39361209792561
316,45560,6,30.25,2,51,4,116,27004.297674829933,0,-0.25,-0.11764705882352941,20.473636277844516
316,45560,7,30.25,2,49,4,110,28048.453125000004,1,-1.25,0.16326530612244897,82.31901087047062
316,45563,1,1.0,2,55,6,159,45818.241388888884,0,0.0,-0.05454545454545454,-423.9067575757575
316,45563,2,1.0,2,54,6,156,22503.36972222222,-1,6.0,-0.1111111111111111,857.1209943415638
316,45563,3,7.290000000000001,2,59,5,150,68787.90341666667,-2,0.7099999999999991,-0.15254237288135594,-976.4319677966103
316,45563,4,8.41,2,56,3,141,11178.417316666668,1,0.5899999999999999,-0.125,248.4754518727729
316,45563,5,9.610000000000001,2,54,4,134,25093.04262154195,0,0.3899999999999988,-0.3333333333333333,35.39361209792561
316,45563,6,10.240000000000002,2,51,4,116,27004.297674829933,0,0.759999999999998,-0.11764705882352941,20.473636277844516
316,45563,7,11.559999999999999,2,49,4,110,28048.453125000004,1,0.4400000000000013,0.16326530612244897,82.31901087047062
316,45629,1,1.0,2,55,6,159,45818.241388888884,0,1.0,-0.05454545454545454,-423.9067575757575
316,45629,2,2.25,2,54,6,156,22503.36972222222,-1,4.75,-0.1111111111111111,857.1209943415638
316,45629,3,7.839999999999999,2,59,5,150,68787.90341666667,-2,1.160000000000001,-0.15254237288135594,-976.4319677966103
316,45629,4,9.0,2,56,3,141,11178.417316666668,1,1.0,-0.125,248.4754518727729
316,45629,5,10.240000000000002,2,54,4,134,25093.04262154195,0,0.759999999999998,-0.3333333333333333,35.39361209792561
316,45629,6,11.559999999999999,2,51,4,116,27004.297674829933,0,4.440000000000001,-0.11764705882352941,20.473636277844516
