species,TreeID,census,e,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
966,231946,1,9.0,60,1,198,11380.435555555556,0,-3.0,0.16666666666666666,-30.899238683127564
316,231856,1,1.0,60,4,198,11380.435555555556,2,0.0,0.16666666666666666,-30.899238683127564
316,231856,2,1.0,62,6,208,9526.481234567902,2,1.0,-0.3548387096774194,20.174732148546383
316,231856,3,2.5600000000000005,59,8,186,10777.314627777778,1,0.4399999999999995,-0.3728813559322034,-4.8077290960452155
316,231856,4,3.61,50,9,164,10493.65861111111,1,0.3900000000000001,0.08,12.574427777777782
316,231856,5,4.840000000000001,48,10,168,11122.38,0,-0.8400000000000007,-0.3541666666666667,-0.3812697231670275
316,231856,6,4.0,41,10,151,11104.079053287982,-10,-4.0,-0.07317073170731707,9.20350464576076
316,231958,1,1.0,60,4,198,11380.435555555556,2,0.0,0.16666666666666666,-30.899238683127564
316,231958,2,1.0,62,6,208,9526.481234567902,2,0.0,-0.3548387096774194,20.174732148546383
316,231958,3,1.6900000000000002,59,8,186,10777.314627777778,1,-0.6900000000000002,-0.3728813559322034,-4.8077290960452155
316,231958,4,1.9599999999999997,50,9,164,10493.65861111111,1,0.04000000000000026,0.08,12.574427777777782
316,231958,5,2.25,48,10,168,11122.38,0,0.75,-0.3541666666666667,-0.3812697231670275
316,231958,6,3.24,41,10,151,11104.079053287982,-2,-0.2400000000000002,-0.07317073170731707,9.20350464576076
316,231958,7,3.61,42,8,148,11481.422743764173,0,0.3900000000000001,0.19047619047619047,2.7392137728106936
316,232002,1,37.209999999999994,60,4,198,11380.435555555556,2,9.790000000000006,0.16666666666666666,-30.899238683127564
316,232002,2,47.61000000000001,62,6,208,9526.481234567902,2,-3.6100000000000065,-0.3548387096774194,20.174732148546383
316,232002,3,44.89,59,8,186,10777.314627777778,1,-6.890000000000001,-0.3728813559322034,-4.8077290960452155
316,232002,4,38.440000000000005,50,9,164,10493.65861111111,1,7.559999999999995,0.08,12.574427777777782
316,232002,5,46.239999999999995,48,10,168,11122.38,0,0.7600000000000051,-0.3541666666666667,-0.3812697231670275
316,232002,6,47.61000000000001,41,10,151,11104.079053287982,-2,3.3899999999999935,-0.07317073170731707,9.20350464576076
316,232002,7,51.84,42,8,148,11481.422743764173,0,4.159999999999997,0.19047619047619047,2.7392137728106936
316,232019,1,2.25,60,4,198,11380.435555555556,2,-0.25,0.16666666666666666,-30.899238683127564
316,232019,2,2.25,62,6,208,9526.481234567902,-6,-2.25,-0.3548387096774194,20.174732148546383
316,236087,2,1.0,62,6,208,9526.481234567902,-6,-1.0,-0.3548387096774194,20.174732148546383
316,236089,2,1.0,62,6,208,9526.481234567902,2,0.0,-0.3548387096774194,20.174732148546383
316,236089,3,1.9599999999999997,59,8,186,10777.314627777778,1,1.0400000000000003,-0.3728813559322034,-4.8077290960452155
316,236089,4,3.61,50,9,164,10493.65861111111,1,3.39,0.08,12.574427777777782
316,236089,5,7.839999999999999,48,10,168,11122.38,0,2.160000000000001,-0.3541666666666667,-0.3812697231670275
316,236089,6,10.889999999999999,41,10,151,11104.079053287982,-2,2.110000000000001,-0.07317073170731707,9.20350464576076
316,236089,7,13.690000000000001,42,8,148,11481.422743764173,0,2.3099999999999987,0.19047619047619047,2.7392137728106936
316,268646,3,1.0,59,8,186,10777.314627777778,1,0.0,-0.3728813559322034,-4.8077290960452155
316,268646,4,1.2100000000000002,50,9,164,10493.65861111111,1,-0.2100000000000002,0.08,12.574427777777782
316,268646,5,1.9599999999999997,48,10,168,11122.38,0,0.04000000000000026,-0.3541666666666667,-0.3812697231670275
316,268646,6,2.8899999999999997,41,10,151,11104.079053287982,-2,0.11000000000000032,-0.07317073170731707,9.20350464576076
316,268646,7,3.61,42,8,148,11481.422743764173,0,3.39,0.19047619047619047,2.7392137728106936
316,268651,3,1.2100000000000002,59,8,186,10777.314627777778,1,-0.2100000000000002,-0.3728813559322034,-4.8077290960452155
316,268651,4,1.6900000000000002,50,9,164,10493.65861111111,1,0.30999999999999983,0.08,12.574427777777782
316,268651,5,2.5600000000000005,48,10,168,11122.38,0,1.4399999999999995,-0.3541666666666667,-0.3812697231670275
316,268651,6,4.0,41,10,151,11104.079053287982,-2,0.0,-0.07317073170731707,9.20350464576076
316,268651,7,4.41,42,8,148,11481.422743764173,-8,-4.41,0.19047619047619047,2.7392137728106936
316,268653,3,1.6900000000000002,59,8,186,10777.314627777778,1,0.30999999999999983,-0.3728813559322034,-4.8077290960452155
316,268653,4,2.8899999999999997,50,9,164,10493.65861111111,1,1.1100000000000003,0.08,12.574427777777782
316,268653,5,4.41,48,10,168,11122.38,0,1.5899999999999999,-0.3541666666666667,-0.3812697231670275
316,268653,6,6.25,41,10,151,11104.079053287982,-2,0.75,-0.07317073170731707,9.20350464576076
316,268653,7,7.290000000000001,42,8,148,11481.422743764173,0,1.709999999999999,0.19047619047619047,2.7392137728106936
316,268654,3,1.44,59,8,186,10777.314627777778,1,-0.43999999999999995,-0.3728813559322034,-4.8077290960452155
316,268654,4,1.44,50,9,164,10493.65861111111,1,-0.43999999999999995,0.08,12.574427777777782
316,268654,5,1.6900000000000002,48,10,168,11122.38,0,-0.6900000000000002,-0.3541666666666667,-0.3812697231670275
316,268654,6,1.6900000000000002,41,10,151,11104.079053287982,-10,-1.6900000000000002,-0.07317073170731707,9.20350464576076
316,305881,4,1.2100000000000002,50,9,164,10493.65861111111,1,-0.2100000000000002,0.08,12.574427777777782
316,305881,5,1.9599999999999997,48,10,168,11122.38,0,0.04000000000000026,-0.3541666666666667,-0.3812697231670275
316,305881,6,2.25,41,10,151,11104.079053287982,-2,-0.25,-0.07317073170731707,9.20350464576076
316,305881,7,2.8899999999999997,42,8,148,11481.422743764173,0,0.11000000000000032,0.19047619047619047,2.7392137728106936
316,325685,5,1.2100000000000002,48,10,168,11122.38,0,-0.2100000000000002,-0.3541666666666667,-0.3812697231670275
316,325685,6,1.9599999999999997,41,10,151,11104.079053287982,-2,0.04000000000000026,-0.07317073170731707,9.20350464576076
316,325685,7,2.25,42,8,148,11481.422743764173,0,1.75,0.19047619047619047,2.7392137728106936
1575,231869,1,9.0,60,3,198,11380.435555555556,0,0.0,0.16666666666666666,-30.899238683127564
1575,231869,2,9.0,62,3,208,9526.481234567902,-3,-9.0,-0.3548387096774194,20.174732148546383
1575,231935,1,9.0,60,3,198,11380.435555555556,0,3.0,0.16666666666666666,-30.899238683127564
1575,231935,2,12.25,62,3,208,9526.481234567902,-1,0.75,-0.3548387096774194,20.174732148546383
1575,231935,3,13.690000000000001,59,2,186,10777.314627777778,0,3.3099999999999987,-0.3728813559322034,-4.8077290960452155
1575,231935,4,17.64,50,2,164,10493.65861111111,2,0.35999999999999943,0.08,12.574427777777782
1575,231935,5,18.49,48,4,168,11122.38,-1,2.5100000000000016,-0.3541666666666667,-0.3812697231670275
1575,231935,6,21.159999999999997,41,3,151,11104.079053287982,-1,1.8400000000000034,-0.07317073170731707,9.20350464576076
1575,231935,7,23.04,42,2,148,11481.422743764173,-2,-23.04,0.19047619047619047,2.7392137728106936
1575,232013,1,70.56,60,3,198,11380.435555555556,0,13.439999999999998,0.16666666666666666,-30.899238683127564
1575,232013,2,84.63999999999999,62,3,208,9526.481234567902,-1,-7.639999999999986,-0.3548387096774194,20.174732148546383
1575,232013,3,77.44000000000001,59,2,186,10777.314627777778,0,3.559999999999988,-0.3728813559322034,-4.8077290960452155
1575,232013,4,81.0,50,2,164,10493.65861111111,2,-2.0,0.08,12.574427777777782
