species,TreeID,census,e,Cluster,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
84,7167,1,635.04,2,52,1,188,10332.982222222223,0,40.960000000000036,0.057692307692307696,-31.663008023722305
84,7167,2,676.0,2,57,1,191,8686.505804988663,0,36.0,0.38596491228070173,-20.20017279707206
84,7167,3,712.89,2,56,1,213,7535.0959555555555,0,16.110000000000014,-0.14285714285714285,-14.199370982142861
84,7167,4,729.0,2,54,1,205,6739.931180555555,0,83.0,0.8148148148148148,32.837071759259274
84,7167,5,812.25,2,66,1,249,8513.133055555556,0,10.75,-0.3484848484848485,2.486019570707068
84,7167,6,823.6899999999999,2,62,1,226,8677.210347222222,0,58.31000000000006,-0.6612903225806451,12.431370967741948
84,7167,7,882.0899999999999,2,57,1,185,9447.955347222223,0,102.91000000000008,-0.3333333333333333,-23.21658503898638
316,198672,1,6.25,2,52,8,188,10332.982222222223,0,5.75,0.057692307692307696,-31.663008023722305
316,198672,2,12.25,2,57,8,191,8686.505804988663,3,5.75,0.38596491228070173,-20.20017279707206
316,198672,3,18.49,2,56,11,213,7535.0959555555555,2,9.510000000000002,-0.14285714285714285,-14.199370982142861
316,198672,4,28.09,2,54,13,205,6739.931180555555,2,1.9100000000000001,0.8148148148148148,32.837071759259274
316,198672,5,30.25,2,66,15,249,8513.133055555556,2,1.75,-0.3484848484848485,2.486019570707068
316,198672,6,32.49,2,62,17,226,8677.210347222222,-2,0.509999999999998,-0.6612903225806451,12.431370967741948
316,198672,7,33.64,2,57,15,185,9447.955347222223,-2,4.359999999999999,-0.3333333333333333,-23.21658503898638
316,198677,1,1.0,2,52,8,188,10332.982222222223,0,1.0,0.057692307692307696,-31.663008023722305
316,198677,2,2.25,2,57,8,191,8686.505804988663,3,1.75,0.38596491228070173,-20.20017279707206
316,198677,3,4.0,2,56,11,213,7535.0959555555555,2,0.0,-0.14285714285714285,-14.199370982142861
316,198677,4,4.0,2,54,13,205,6739.931180555555,2,1.0,0.8148148148148148,32.837071759259274
316,198677,5,5.289999999999999,2,66,15,249,8513.133055555556,2,-0.28999999999999915,-0.3484848484848485,2.486019570707068
316,198677,6,5.76,2,62,17,226,8677.210347222222,-17,-5.76,-0.6612903225806451,12.431370967741948
316,198680,1,1.0,2,52,8,188,10332.982222222223,0,1.0,0.057692307692307696,-31.663008023722305
316,198680,2,2.25,2,57,8,191,8686.505804988663,3,0.75,0.38596491228070173,-20.20017279707206
316,198680,3,3.61,2,56,11,213,7535.0959555555555,2,1.3900000000000001,-0.14285714285714285,-14.199370982142861
316,198680,4,5.76,2,54,13,205,6739.931180555555,2,1.2400000000000002,0.8148148148148148,32.837071759259274
316,198680,5,7.290000000000001,2,66,15,249,8513.133055555556,2,-0.2900000000000009,-0.3484848484848485,2.486019570707068
316,198680,6,7.290000000000001,2,62,17,226,8677.210347222222,-2,-0.2900000000000009,-0.6612903225806451,12.431370967741948
316,198680,7,7.839999999999999,2,57,15,185,9447.955347222223,-2,-0.839999999999999,-0.3333333333333333,-23.21658503898638
316,198689,1,1.0,2,52,8,188,10332.982222222223,0,0.0,0.057692307692307696,-31.663008023722305
316,198689,2,1.0,2,57,8,191,8686.505804988663,-8,-1.0,0.38596491228070173,-20.20017279707206
316,198689,6,1.0,2,62,17,226,8677.210347222222,-2,0.0,-0.6612903225806451,12.431370967741948
316,198689,7,1.2100000000000002,2,57,15,185,9447.955347222223,-15,-1.2100000000000002,-0.3333333333333333,-23.21658503898638
316,198698,1,16.0,2,52,8,188,10332.982222222223,0,0.0,0.057692307692307696,-31.663008023722305
316,198698,2,16.0,2,57,8,191,8686.505804988663,3,2.0,0.38596491228070173,-20.20017279707206
316,198698,3,18.49,2,56,11,213,7535.0959555555555,2,-0.48999999999999844,-0.14285714285714285,-14.199370982142861
316,198698,4,18.49,2,54,13,205,6739.931180555555,-13,-18.49,0.8148148148148148,32.837071759259274
316,198771,1,6.25,2,52,8,188,10332.982222222223,0,-0.25,0.057692307692307696,-31.663008023722305
316,198771,2,6.25,2,57,8,191,8686.505804988663,3,5.75,0.38596491228070173,-20.20017279707206
316,198771,3,12.25,2,56,11,213,7535.0959555555555,2,4.75,-0.14285714285714285,-14.199370982142861
316,198771,4,17.64,2,54,13,205,6739.931180555555,2,7.359999999999999,0.8148148148148148,32.837071759259274
316,198771,5,25.0,2,66,15,249,8513.133055555556,2,3.0,-0.3484848484848485,2.486019570707068
316,198771,6,28.09,2,62,17,226,8677.210347222222,-2,-0.08999999999999986,-0.6612903225806451,12.431370967741948
316,198771,7,28.09,2,57,15,185,9447.955347222223,-15,-28.09,-0.3333333333333333,-23.21658503898638
316,198796,1,1.0,2,52,8,188,10332.982222222223,0,0.0,0.057692307692307696,-31.663008023722305
316,198796,2,1.0,2,57,8,191,8686.505804988663,3,2.0,0.38596491228070173,-20.20017279707206
