species,TreeID,census,e,Cluster,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
966,204962,1,2.25,3,58,1,170,24639.912253086422,0,-1.25,0.10344827586206896,-90.44353673903794
966,204962,2,1.0,3,59,1,176,19394.18712222222,0,0.0,0.2711864406779661,114.98381172316387
316,8,2,1.0,2,59,5,176,19394.18712222222,-5,-1.0,0.2711864406779661,114.98381172316387
316,204887,1,16.0,2,58,5,170,24639.912253086422,0,0.0,0.10344827586206896,-90.44353673903794
316,204887,2,16.0,2,59,5,176,19394.18712222222,4,4.0,0.2711864406779661,114.98381172316387
316,204887,3,20.25,2,58,9,192,26178.23201388889,0,-0.25,-0.13793103448275862,-59.59142763409965
316,204887,4,20.25,2,52,9,184,22721.92921111111,-1,3.75,-0.11538461538461539,-233.28361175213675
316,204887,5,24.010000000000005,2,51,8,178,10591.1814,-8,-24.010000000000005,0.6078431372549019,9.494555010893237
316,204939,1,2.25,2,58,5,170,24639.912253086422,0,-0.25,0.10344827586206896,-90.44353673903794
316,204939,2,2.25,2,59,5,176,19394.18712222222,4,0.75,0.2711864406779661,114.98381172316387
316,204939,3,3.24,2,58,9,192,26178.23201388889,0,-0.2400000000000002,-0.13793103448275862,-59.59142763409965
316,204939,4,3.24,2,52,9,184,22721.92921111111,-1,-0.2400000000000002,-0.11538461538461539,-233.28361175213675
316,204939,5,3.24,2,51,8,178,10591.1814,0,-1.2400000000000002,0.6078431372549019,9.494555010893237
316,204939,6,2.25,2,57,8,209,11075.403705555555,-2,-0.25,-0.5789473684210527,9.48905799220276
316,204939,7,2.25,2,53,6,176,11616.280011111112,-6,-2.25,-0.20754716981132076,4.348504192872085
316,205009,1,16.0,2,58,5,170,24639.912253086422,0,-4.0,0.10344827586206896,-90.44353673903794
316,205009,2,12.25,2,59,5,176,19394.18712222222,-5,-12.25,0.2711864406779661,114.98381172316387
316,205015,1,1.0,2,58,5,170,24639.912253086422,0,0.0,0.10344827586206896,-90.44353673903794
316,205015,2,1.0,2,59,5,176,19394.18712222222,4,1.0,0.2711864406779661,114.98381172316387
316,205015,3,2.5600000000000005,2,58,9,192,26178.23201388889,0,0.4399999999999995,-0.13793103448275862,-59.59142763409965
316,205015,4,3.24,2,52,9,184,22721.92921111111,-9,-3.24,-0.11538461538461539,-233.28361175213675
316,205017,1,1.0,2,58,5,170,24639.912253086422,-5,-1.0,0.10344827586206896,-90.44353673903794
316,273756,3,1.0,2,58,9,192,26178.23201388889,0,0.0,-0.13793103448275862,-59.59142763409965
316,273756,4,1.0,2,52,9,184,22721.92921111111,-1,0.0,-0.11538461538461539,-233.28361175213675
316,273756,5,1.2100000000000002,2,51,8,178,10591.1814,0,-0.2100000000000002,0.6078431372549019,9.494555010893237
316,273756,6,1.44,2,57,8,209,11075.403705555555,-8,-1.44,-0.5789473684210527,9.48905799220276
316,273759,3,1.2100000000000002,2,58,9,192,26178.23201388889,0,-0.2100000000000002,-0.13793103448275862,-59.59142763409965
316,273759,4,1.0,2,52,9,184,22721.92921111111,-1,0.0,-0.11538461538461539,-233.28361175213675
316,273759,5,1.2100000000000002,2,51,8,178,10591.1814,0,-0.2100000000000002,0.6078431372549019,9.494555010893237
316,273759,6,1.6900000000000002,2,57,8,209,11075.403705555555,-2,0.30999999999999983,-0.5789473684210527,9.48905799220276
316,273759,7,2.5600000000000005,2,53,6,176,11616.280011111112,-2,-0.5600000000000005,-0.20754716981132076,4.348504192872085
316,273775,3,1.2100000000000002,2,58,9,192,26178.23201388889,0,-0.2100000000000002,-0.13793103448275862,-59.59142763409965
316,273775,4,1.44,2,52,9,184,22721.92921111111,-9,-1.44,-0.11538461538461539,-233.28361175213675
316,273786,3,1.6900000000000002,2,58,9,192,26178.23201388889,0,-0.6900000000000002,-0.13793103448275862,-59.59142763409965
316,273786,4,1.9599999999999997,2,52,9,184,22721.92921111111,-1,-0.9599999999999997,-0.11538461538461539,-233.28361175213675
316,273786,5,1.9599999999999997,2,51,8,178,10591.1814,0,0.04000000000000026,0.6078431372549019,9.494555010893237
316,273786,6,2.5600000000000005,2,57,8,209,11075.403705555555,-2,0.4399999999999995,-0.5789473684210527,9.48905799220276
316,273786,7,3.61,2,53,6,176,11616.280011111112,-6,-3.61,-0.20754716981132076,4.348504192872085
316,273795,3,3.61,2,58,9,192,26178.23201388889,0,0.3900000000000001,-0.13793103448275862,-59.59142763409965
316,273795,4,4.0,2,52,9,184,22721.92921111111,-1,1.0,-0.11538461538461539,-233.28361175213675
316,273795,5,5.76,2,51,8,178,10591.1814,0,6.24,0.6078431372549019,9.494555010893237
316,273795,6,12.25,2,57,8,209,11075.403705555555,-2,-0.25,-0.5789473684210527,9.48905799220276
316,273795,7,12.25,2,53,6,176,11616.280011111112,-2,-0.25,-0.20754716981132076,4.348504192872085
316,274307,3,1.44,2,58,9,192,26178.23201388889,0,0.56,-0.13793103448275862,-59.59142763409965
316,274307,4,2.25,2,52,9,184,22721.92921111111,-1,-0.25,-0.11538461538461539,-233.28361175213675
316,274307,5,2.5600000000000005,2,51,8,178,10591.1814,0,-0.5600000000000005,0.6078431372549019,9.494555010893237
316,274307,6,2.8899999999999997,2,57,8,209,11075.403705555555,-2,0.11000000000000032,-0.5789473684210527,9.48905799220276
316,274307,7,3.0625,2,53,6,176,11616.280011111112,-6,-3.0625,-0.20754716981132076,4.348504192872085
316,328794,5,1.44,2,51,8,178,10591.1814,-8,-1.44,0.6078431372549019,9.494555010893237
316,347041,6,1.6900000000000002,2,57,8,209,11075.403705555555,-8,-1.6900000000000002,-0.5789473684210527,9.48905799220276
316,348555,6,1.9599999999999997,2,57,8,209,11075.403705555555,-2,0.04000000000000026,-0.5789473684210527,9.48905799220276
316,348555,7,2.25,2,53,6,176,11616.280011111112,-2,-0.25,-0.20754716981132076,4.348504192872085
1575,204880,1,2.25,4,58,2,170,24639.912253086422,0,-0.25,0.10344827586206896,-90.44353673903794
1575,204880,2,2.25,4,59,2,176,19394.18712222222,0,2.75,0.2711864406779661,114.98381172316387
1575,204880,3,5.289999999999999,4,58,2,192,26178.23201388889,-1,1.7100000000000009,-0.13793103448275862,-59.59142763409965
1575,204880,4,7.839999999999999,4,52,1,184,22721.92921111111,0,1.160000000000001,-0.11538461538461539,-233.28361175213675
1575,204880,7,6.760000000000001,4,53,2,176,11616.280011111112,0,-0.7600000000000007,-0.20754716981132076,4.348504192872085
1575,204993,1,2.25,4,58,2,170,24639.912253086422,0,-0.25,0.10344827586206896,-90.44353673903794
1575,204993,2,2.25,4,59,2,176,19394.18712222222,0,0.75,0.2711864406779661,114.98381172316387
1575,204993,3,3.61,4,58,2,192,26178.23201388889,-2,-3.61,-0.13793103448275862,-59.59142763409965
1575,204993,6,8.41,4,57,1,209,11075.403705555555,1,6.59,-0.5789473684210527,9.48905799220276
1575,204993,7,15.209999999999999,4,53,2,176,11616.280011111112,0,3.790000000000001,-0.20754716981132076,4.348504192872085
990,7278,1,1095.6100000000001,2,58,3,170,24639.912253086422,0,-84.61000000000013,0.10344827586206896,-90.44353673903794
