species,TreeID,census,e,Cluster,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
316,231467,1,37.209999999999994,2,62,7,155,6960.764066666667,1,2.7900000000000063,0.22580645161290322,30.708809856630833
316,231467,2,40.96000000000001,2,61,8,169,8864.710277777778,-1,-0.960000000000008,0.21311475409836064,3.377022996357005
316,231467,3,40.96000000000001,2,61,7,182,9070.708680555555,1,-1.960000000000008,-0.04918032786885246,14.494265431582477
316,231467,4,39.69,2,59,8,179,9954.858871882087,0,-0.6899999999999977,-0.1694915254237288,8.220619697384622
316,231467,5,39.69,2,57,8,169,10439.87543402778,-8,-39.69,0.08771929824561403,25.918160966100178
316,231505,1,1.0,2,62,7,155,6960.764066666667,1,0.0,0.22580645161290322,30.708809856630833
316,231505,2,1.0,2,61,8,169,8864.710277777778,-1,0.0,0.21311475409836064,3.377022996357005
316,231505,3,1.2100000000000002,2,61,7,182,9070.708680555555,1,0.7899999999999998,-0.04918032786885246,14.494265431582477
316,231505,4,2.5600000000000005,2,59,8,179,9954.858871882087,0,-0.5600000000000005,-0.1694915254237288,8.220619697384622
316,231505,5,2.8899999999999997,2,57,8,169,10439.87543402778,0,1.1100000000000003,0.08771929824561403,25.918160966100178
316,231505,6,4.840000000000001,2,58,8,174,11917.21060909549,3,1.1599999999999993,0.08620689655172414,22.409137007932166
316,231505,7,6.25,2,59,11,179,13216.940555555555,1,-0.25,-0.1694915254237288,-18.03798562588877
316,231511,1,2.25,2,62,7,155,6960.764066666667,1,1.75,0.22580645161290322,30.708809856630833
316,231511,2,4.0,2,61,8,169,8864.710277777778,-8,-4.0,0.21311475409836064,3.377022996357005
316,231521,1,2.25,2,62,7,155,6960.764066666667,1,-0.25,0.22580645161290322,30.708809856630833
316,231521,2,2.25,2,61,8,169,8864.710277777778,-1,0.75,0.21311475409836064,3.377022996357005
316,231521,3,3.4225000000000003,2,61,7,182,9070.708680555555,1,2.5774999999999997,-0.04918032786885246,14.494265431582477
316,231521,4,6.25,2,59,8,179,9954.858871882087,0,2.75,-0.1694915254237288,8.220619697384622
316,231521,5,9.610000000000001,2,57,8,169,10439.87543402778,0,-1.6100000000000012,0.08771929824561403,25.918160966100178
316,231521,6,8.1225,2,58,8,174,11917.21060909549,3,0.8774999999999995,0.08620689655172414,22.409137007932166
316,231521,7,9.9225,2,59,11,179,13216.940555555555,1,0.07750000000000057,-0.1694915254237288,-18.03798562588877
316,231555,1,1.7777777777777781,2,62,7,155,6960.764066666667,1,-0.7777777777777781,0.22580645161290322,30.708809856630833
316,231555,2,1.7777777777777781,2,61,8,169,8864.710277777778,-8,-1.7777777777777781,0.21311475409836064,3.377022996357005
316,231592,1,2.25,2,62,7,155,6960.764066666667,-7,-2.25,0.22580645161290322,30.708809856630833
316,231595,1,1.0,2,62,7,155,6960.764066666667,1,0.0,0.22580645161290322,30.708809856630833
316,231595,2,1.0,2,61,8,169,8864.710277777778,-1,1.0,0.21311475409836064,3.377022996357005
316,231595,3,2.25,2,61,7,182,9070.708680555555,1,-0.25,-0.04918032786885246,14.494265431582477
316,231595,4,2.5600000000000005,2,59,8,179,9954.858871882087,0,1.4399999999999995,-0.1694915254237288,8.220619697384622
316,231595,5,4.41,2,57,8,169,10439.87543402778,0,1.5899999999999999,0.08771929824561403,25.918160966100178
316,231595,6,6.25,2,58,8,174,11917.21060909549,3,0.75,0.08620689655172414,22.409137007932166
316,231595,7,7.290000000000001,2,59,11,179,13216.940555555555,1,-3.290000000000001,-0.1694915254237288,-18.03798562588877
316,235528,2,1.0,2,61,8,169,8864.710277777778,-1,0.0,0.21311475409836064,3.377022996357005
316,235528,3,1.6900000000000002,2,61,7,182,9070.708680555555,1,-0.6900000000000002,-0.04918032786885246,14.494265431582477
316,235528,4,1.9599999999999997,2,59,8,179,9954.858871882087,0,0.04000000000000026,-0.1694915254237288,8.220619697384622
316,235528,5,2.5600000000000005,2,57,8,169,10439.87543402778,0,1.4399999999999995,0.08771929824561403,25.918160966100178
316,235528,6,4.840000000000001,2,58,8,174,11917.21060909549,3,0.15999999999999925,0.08620689655172414,22.409137007932166
316,235528,7,5.289999999999999,2,59,11,179,13216.940555555555,1,0.7100000000000009,-0.1694915254237288,-18.03798562588877
316,236094,2,1.0,2,61,8,169,8864.710277777778,-1,1.0,0.21311475409836064,3.377022996357005
316,236094,3,2.25,2,61,7,182,9070.708680555555,1,0.75,-0.04918032786885246,14.494265431582477
316,236094,4,3.4225000000000003,2,59,8,179,9954.858871882087,0,0.5774999999999997,-0.1694915254237288,8.220619697384622
316,236094,5,4.0,2,57,8,169,10439.87543402778,0,0.0,0.08771929824561403,25.918160966100178
316,236094,6,4.840000000000001,2,58,8,174,11917.21060909549,3,0.15999999999999925,0.08620689655172414,22.409137007932166
316,236094,7,5.522500000000001,2,59,11,179,13216.940555555555,1,0.47749999999999915,-0.1694915254237288,-18.03798562588877
316,268598,3,1.0,2,61,7,182,9070.708680555555,1,0.0,-0.04918032786885246,14.494265431582477
316,268598,4,1.6900000000000002,2,59,8,179,9954.858871882087,0,1.3099999999999998,-0.1694915254237288,8.220619697384622
316,268598,5,3.61,2,57,8,169,10439.87543402778,0,0.3900000000000001,0.08771929824561403,25.918160966100178
316,268598,6,4.41,2,58,8,174,11917.21060909549,3,1.5899999999999999,0.08620689655172414,22.409137007932166
