species,TreeID,census,e,Cluster,S_t,n,N_t,E_t,dn,de,dN/S,dE/S
966,7077,1,888.0400000000001,3,63,1,252,9711.975277777778,0,934.9599999999999,0.1111111111111111,15.055564373897719
966,7077,2,1823.2900000000002,3,63,1,259,10660.475833333334,0,626.7099999999998,-0.12698412698412698,50.37654320987652
966,7077,3,2450.25,3,62,1,251,13834.198055555555,0,563.75,-0.532258064516129,-45.222549283154116
966,7077,4,3014.0099999999998,3,58,1,218,11030.4,0,234.99000000000024,-0.46551724137931033,14.122931034482777
966,7077,5,3249.0,3,52,1,191,11849.53,0,447.0,-0.17307692307692307,-12.063557692307699
966,7077,6,3696.64,3,50,1,182,11222.225,0,246.36000000000013,-0.22,-12.112116666666662
966,7077,7,3943.8399999999997,3,51,1,171,10616.619166666667,0,242.1600000000003,-0.0392156862745098,5.772434858387808
49,201308,1,2.25,2,63,1,252,9711.975277777778,0,-1.25,0.1111111111111111,15.055564373897719
316,201257,1,20.25,2,63,13,252,9711.975277777778,2,-0.25,0.1111111111111111,15.055564373897719
316,201257,2,20.25,2,63,15,259,10660.475833333334,0,11.75,-0.12698412698412698,50.37654320987652
316,201257,3,32.49,2,62,15,251,13834.198055555555,0,1.509999999999998,-0.532258064516129,-45.222549283154116
316,201257,4,34.81,2,58,15,218,11030.4,1,-0.8100000000000023,-0.46551724137931033,14.122931034482777
316,201257,5,34.81,2,52,16,191,11849.53,-16,-34.81,-0.17307692307692307,-12.063557692307699
316,201259,1,12.25,2,63,13,252,9711.975277777778,2,-0.25,0.1111111111111111,15.055564373897719
316,201259,2,12.25,2,63,15,259,10660.475833333334,-15,-12.25,-0.12698412698412698,50.37654320987652
316,201282,1,4.0,2,63,13,252,9711.975277777778,2,0.0,0.1111111111111111,15.055564373897719
316,201282,2,4.0,2,63,15,259,10660.475833333334,0,7.0,-0.12698412698412698,50.37654320987652
316,201282,3,11.559999999999999,2,62,15,251,13834.198055555555,0,5.440000000000001,-0.532258064516129,-45.222549283154116
316,201282,4,17.64,2,58,15,218,11030.4,1,-0.6400000000000006,-0.46551724137931033,14.122931034482777
316,201282,5,17.64,2,52,16,191,11849.53,0,4.359999999999999,-0.17307692307692307,-12.063557692307699
316,201282,6,22.090000000000003,2,50,16,182,11222.225,0,4.909999999999997,-0.22,-12.112116666666662
316,201282,7,27.040000000000003,2,51,16,171,10616.619166666667,-2,3.9599999999999973,-0.0392156862745098,5.772434858387808
316,201293,1,1.0,2,63,13,252,9711.975277777778,2,1.0,0.1111111111111111,15.055564373897719
316,201293,2,2.25,2,63,15,259,10660.475833333334,0,0.75,-0.12698412698412698,50.37654320987652
316,201293,3,3.61,2,62,15,251,13834.198055555555,0,-0.6099999999999999,-0.532258064516129,-45.222549283154116
316,201293,4,3.61,2,58,15,218,11030.4,1,-0.6099999999999999,-0.46551724137931033,14.122931034482777
316,201293,5,3.61,2,52,16,191,11849.53,0,0.3900000000000001,-0.17307692307692307,-12.063557692307699
